역번호,요일유형,시,구분,일평균인원,연도
97,주중,19,하차,391.09578544061304,2025
97,주중,20,승차,93.45977011494253,2025
97,주중,20,하차,263.37164750957857,2025
97,주중,21,승차,74.51340996168582,2025
97,주중,21,하차,235.07662835249042,2025
97,주중,22,승차,53.90421455938697,2025
97,주중,22,하차,184.59386973180077,2025
97,주중,23,승차,19.24904214559387,2025
97,주중,23,하차,119.36781609195403,2025
97,토,0,승차,2.230769230769231,2025
97,토,0,하차,52.25,2025
97,토,1,승차,0.4230769230769231,2025
97,토,1,하차,0.8076923076923077,2025
97,토,2,승차,0.5576923076923077,2025
97,토,2,하차,0.5,2025
97,토,3,승차,0.0,2025
97,토,3,하차,0.0,2025
97,토,4,승차,17.596153846153847,2025
97,토,4,하차,0.4230769230769231,2025
97,토,5,승차,101.32692307692308,2025
97,토,5,하차,14.48076923076923,2025
97,토,6,승차,124.09615384615384,2025
97,토,6,하차,61.55769230769231,2025
97,토,7,승차,209.82692307692307,2025
97,토,7,하차,75.5576923076923,2025
97,토,8,승차,333.4807692307692,2025
97,토,8,하차,122.61538461538461,2025
97,토,9,승차,384.13461538461536,2025
97,토,9,하차,149.8653846153846,2025
97,토,10,승차,383.4230769230769,2025
97,토,10,하차,186.80769230769232,2025
97,토,11,승차,400.21153846153845,2025
97,토,11,하차,254.32692307692307,2025
97,토,12,승차,396.5,2025
97,토,12,하차,286.6730769230769,2025
97,토,13,승차,335.25,2025
97,토,13,하차,293.4423076923077,2025
97,토,14,승차,289.1923076923077,2025
97,토,14,하차,300.9423076923077,2025
97,토,15,승차,281.59615384615387,2025
97,토,15,하차,352.9230769230769,2025
97,토,16,승차,285.2692307692308,2025
97,토,16,하차,388.46153846153845,2025
97,토,17,승차,267.5576923076923,2025
97,토,17,하차,405.65384615384613,2025
97,토,18,승차,187.59615384615384,2025
97,토,18,하차,349.8076923076923,2025
97,토,19,승차,129.8846153846154,2025
97,토,19,하차,281.8269230769231,2025
97,토,20,승차,104.42307692307692,2025
97,토,20,하차,245.01923076923077,2025
97,토,21,승차,74.63461538461539,2025
97,토,21,하차,251.30769230769232,2025
97,토,22,승차,64.25,2025
97,토,22,하차,187.73076923076923,2025
97,토,23,승차,19.0,2025
97,토,23,하차,131.42307692307693,2025
98,일,0,승차,1.1923076923076923,2025
98,일,0,하차,15.75,2025
98,일,1,승차,0.07692307692307693,2025
98,일,1,하차,0.07692307692307693,2025
98,일,2,승차,0.019230769230769232,2025
98,일,2,하차,0.11538461538461539,2025
98,일,3,승차,0.0,2025
98,일,3,하차,0.0,2025
98,일,4,승차,5.961538461538462,2025
98,일,4,하차,0.23076923076923078,2025
98,일,5,승차,50.71153846153846,2025
98,일,5,하차,6.846153846153846,2025
98,일,6,승차,59.55769230769231,2025
98,일,6,하차,36.09615384615385,2025
98,일,7,승차,80.57692307692308,2025
98,일,7,하차,39.44230769230769,2025
98,일,8,승차,141.51923076923077,2025
98,일,8,하차,51.30769230769231,2025
98,일,9,승차,180.94230769230768,2025
98,일,9,하차,60.55769230769231,2025
98,일,10,승차,187.6153846153846,2025
98,일,10,하차,76.59615384615384,2025
98,일,11,승차,186.75,2025
